gene,seq_length,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
Tap1,724,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2
Stx7,261,2,0,0,0,1,1,1,1,1,1,2,2,2,2,1,1,1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1,1,0,0,-1,0,0,0,1,0,0,1,1,1,2,2,1,1,1,0,0,1,0,1,2,2,2,3,2,3,3,2,3,2,3,2,2,2,1,2,2,2,2,3,3,3,4,4,4,5,4,4,3,3,1,1,1,0,2,1,2,2,2,3,4,4,4
Slc7a2,657,4,3,4,4,4,3,3,3,2,2,2,2,1,1,1,1,0,-1,-2,-2,-2,-2,-2,-1,-1,-1,0,1,0,-1,-1,0,-1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1
Stau1,495,4,3,3,2,2,2,3,3,3,3,2,2,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,4,4,5,5,5,4,4,4,4,3,4,4,3,2,2,1,2,0,0,-1,-2,-4,-4,-3,-3,-2,-2,-4,-4,-4,-5,-5,-5,-6,-6,-5,-5,-4,-3,-2,-3,-3,-2,-2,-2,-3,-4,-3,-3,-2,-1,0,0,0,1,-1,-1,0,0,0
Stxbp1,594,6,5,5,5,4,4,4,3,3,4,4,4,5,4,4,4,5,6,6,5,4,3,3,1,0,-1,-1,0,0,-2,-3,-3,-3,-2,0,1,0,0,0,-1,-1,-1,-2,-2,-2,-2,-3,-3,-3,-2,-2,-3,-2,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,-2,-3,-2,-2,-1,-1,0,0,1,1,1,1,1,1,0,0,0,1,-1,-1,-1,-1,-1,-2,-2,-2,0,0,0,1,1,2,2,2,2,2
Abcc1,1528,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,0,1,2
Tfg,277,0,-1,-1,-1,-2,-3,-2,-2,-2,-2,-3,-3,-2,-2,-3,-2,-2,-1,-1,0,1,1,-1,-3,-3,-3,-3,-2,-2,0,0,-1,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-3,-4,-4,-5,-5,-6,-6,-6,-6,-6,-4,-3,-3,-2,-2,-3,-3,-4,-3,-2,-1,-1,0,1,1,1,0,0,1,1,1,3,3,3,4,5,4,4,4,3,2,3,3,3,3,3,4,4,4,3,3,3,2,1,1,1,1,1
Arf5,180,5,4,4,4,4,4,5,5,6,6,6,4,4,4,4,3,2,2,2,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,-1,-2,-3,-3,-3,-2,-3,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,1,1,1,1,0,0,0,-1,1,0,1,1,1,1,0,0,-2,-3,-3,-3,-3,-3,-3,-3,-4,-5,-6,-6,-5,-6,-6,-6,-6,-6,-5,-5,-5,-4,-4,-3,-5
Ccdc88b,1481,2,1,1,0,0,-1,-1,-1,-2,-3,-5,-6,-7,-8,-9,-10,-11,-12,-13,-13,-13,-13,-13,-13,-14,-13,-12,-12,-12,-11,-10,-10,-10,-9,-9,-9,-9,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,3,3,3,3,4,4,5,5,4,5,4,3,3,3,4,4,5,5,5,5,4,4,4,4,4,4,5,5,6,5,4,4,4,3,1,1,1,0,0,-1,0,0,0,0,0,-1,-2,-2,-2,-2,-2,-2
Slc25a22,323,1,0,0,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,3,3,3,3,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,2,2,2,0,0,1,2,2,2,2,2,3,1,1,1,2,2,2,2,2,3,2,2,2,3,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,0,-1,0,1,1
